Procuring Entity (PE),Region,Province,City/Municipality,Government Branch,PE Organization Type,PE Organization Type (Grouped),Bid Reference No.,Notice Title,Classification,Procurement Mode,Business Category,Funding Source,Funding Instrument,Trade Agreement,Approved Budget of the Contract,Published Date,Closing Date,Area of Delivery,Contract Duration,Calendar Type,Line Item No,Item Name,Item Description,Quantity,UOM,Item Budget,Bid Notice Status,Award Reference No.,Award Title,UNSPSC Code,UNSPSC Description,Published Date(Award),Award Date,Contract Amount,Award Notice Status,Notice to Proceed Date,Contract Effectivity Date,Contract End Date,Awardee Organization Name,Country of Awardee,Region of Awardee,Province of Awardee,City/Municipality of Awardee,Awardee Size,Awardee Joint Venture
PROVINCE OF OCCIDENTAL MINDORO,Region IV-B,Occidental Mindoro,Mamburao,Executive,Provincial Government,Local Government Units (LGU),0,Rario Broadcast / Advertising for use of SPO,Goods,"NP - Scientific, Scholarly/Artistic Work, Exclusive Tech. & Media Service (53.6)",Advertising Agency Services,Government of the Philippines (GOP),Budget for the Contract Approved by the Sanggunian,Implementing Rules and Regulations,150000.00,05/11/2024,NULL,Occidental Mindoro,90,NULL,1,Rario Broadcast / Advertising for use of SPO, ,1,Lot,150000.00,Awarded,4883510,Rario Broadcast / Advertising for use of SPO,60105409,Brand marketing or advertising instructional materials,05/11/2024,01/10/2024,149850.00,Posted,NULL,NULL,NULL,LIGHT ADVERTISING,Philippines,Region IV-B,Occidental Mindoro,Mamburao,Micro,NULL
UNIVERSITY OF THE PHILIPPINES - DILIMAN,NCR,Metro Manila,Quezon City,Executive,State Universities or Colleges (SUC),State Universities and Colleges (SUC),0,Online Research Resources (ASCE eJournals 1983 - Current),Goods,"NP - Scientific, Scholarly/Artistic Work, Exclusive Tech. & Media Service (53.6)","Books, Maps and Other Publications",Government of the Philippines (GOP),General Appropriations Act,Implementing Rules and Regulations,503783.00,21/12/2024,NULL,Metro Manila,1,NULL,1,Online Research Resources (ASCE eJournals 1983 - C,"(January 1, 2025-December 31, 2025)",1,Lot,503783.00,Awarded,5260196,Online Research Resources (ASCE eJournals 1983 - Current),60102300,Reading books and resources,21/12/2024,16/12/2024,503783.00,Updated,16/12/2024,20/12/2024,31/12/2025,LIBTECH SOURCE PHILIPPINES INC.,Philippines,NCR,Metro Manila,Makati City,Micro,NULL
"BARANGAY BEL-AIR, MAKATI CITY",NCR,Metro Manila,Makati City,Executive,Barangay,Local Government Units (LGU),0,Services as Performer/Artist for Bel-Air Concert,Consulting Services,"NP - Scientific, Scholarly/Artistic Work, Exclusive Tech. & Media Service (53.6)","Travel, Food, Lodging and Entertainment Services",Government of the Philippines (GOP),Budget for the Contract Approved by the Sanggunian,Implementing Rules and Regulations,478000.00,NULL,NULL,Metro Manila,1,NULL,1,Procurement of Services as Performer/Artist for Be,Talent-Male Singer Talent-Female Singer Talent-Male Singer  Talent-Female Singer Annotator ,1,Package,478000.00,Awarded,4337189,Services as Performer/Artist for Bel-Air Concert,90000000,Travel and Food and Lodging and Entertainment Services,03/12/2024,27/11/2024,468000.00,Updated,01/12/2024,01/12/2024,01/12/2024,BEA-ELICE EVENTS MANAGEMENT,Philippines,NCR,Metro Manila,Makati City,Micro,NULL
HOME DEVELOPMENT MUTUAL FUND - CALAMBA BRANCH,Region IV-A,Laguna,Calamba City,Executive,Government Owned and/or Controlled Corp.(GOCC),Government Owned and Controlled Corporations (GOCC),0,PROVISION OF PAMBANSANG PABAHAY PARA SA PILIPINO HOUSING (4PH) PROGRAM,Goods,"NP - Scientific, Scholarly/Artistic Work, Exclusive Tech. & Media Service (53.6)",Advertising Agency Services,Government of the Philippines (GOP),Corporate Budget for the Contract Approved by the Board,Implementing Rules and Regulations,743232.00,04/10/2024,NULL,Pampanga,3,NULL,1,PROVISION OF PAMBANSANG PABAHAY PARA SA PILIPINO H,PROVISION OF PAMBANSANG PABAHAY PARA SA PILIPINO HOUSING (4PH) PROGRAM,1,Lot,743232.00,Awarded,5108436,PROVISION OF PAMBANSANG PABAHAY PARA SA PILIPINO HOUSING (4PH) PROGRAM,82100000,Advertising,04/10/2024,05/09/2024,743232.00,Updated,06/09/2024,07/09/2024,06/12/2024,ADWORLD TOTAL ADVERTISING CORP.,Philippines,NCR,Metro Manila,Taguig City,Micro,NULL
NATIONAL IRRIGATION ADMINISTRATION - REGION I,Region I,La Union,Agoo,Executive,Government Owned and/or Controlled Corp.(GOCC),Government Owned and Controlled Corporations (GOCC),0,Printing of Padanum Amianan Newsletter (1st and 2nd Quarter CY 2024),Goods,"NP - Scientific, Scholarly/Artistic Work, Exclusive Tech. & Media Service (53.6)",Printing Services,Government of the Philippines (GOP),Corporate Budget for the Contract Approved by the Board,Implementing Rules and Regulations,175000.00,NULL,NULL,Pangasinan,30,NULL,1,Printing of Padanum Amianan Newsletter (1st and 2n,Printing of Padanum Amianan Newsletter (1st and 2nd Quarter CY 2024),1,Lot,175000.00,Awarded,5102552,Printing of Padanum Amianan Newsletter (1st and 2nd Quarter CY 2024),82121500,Printing,02/10/2024,02/10/2024,120000.00,Updated,02/04/2024,03/04/2024,02/10/2024,AVF PHOTOCOPYING SOLUTIONS,Philippines,Region I,Pangasinan,Dagupan City,Micro,NULL
HOME DEVELOPMENT MUTUAL FUND - CORPORATE HEADQUARTERS,NCR,Metro Manila,Makati City,Executive,Government Owned and/or Controlled Corp.(GOCC),Government Owned and Controlled Corporations (GOCC),0,"Pag-IBIG Fund, CHQ (Provision of Print Media Advertising Placements for the Pag-IBIG Fund Advertising Campaigns in Negros Now Daily)",Goods - General Support Services,"NP - Scientific, Scholarly/Artistic Work, Exclusive Tech. & Media Service (53.6)",Advertising Agency Services,Government of the Philippines (GOP),Corporate Budget for the Contract Approved by the Board,Implementing Rules and Regulations,105000.00,09/10/2024,NULL,Metro Manila,1,NULL,1,Print Advertisement,Provision of Print Media Advertising Placements for the Pag-IBIG Fund Advertising Campaigns in Negros Now Daily,1,Lot,105000.00,Awarded,5116516,"Pag-IBIG Fund, CHQ (Provision of Print Media Advertising Placements for the Pag-IBIG Fund Advertising Campaigns in Negros Now Daily)",82101504,Newspaper advertising,09/10/2024,03/10/2024,105000.00,Updated,13/11/2024,14/11/2024,13/11/2025,NEGROS WEEKLY INC.,Philippines,Region VI,Negros Occidental,Bacolod City,Micro,NULL
UNIVERSITY OF THE PHILIPPINES - DILIMAN,NCR,Metro Manila,Quezon City,Executive,State Universities or Colleges (SUC),State Universities and Colleges (SUC),0,One-year subscription to THE NEW YORK TIMES,Goods,"NP - Scientific, Scholarly/Artistic Work, Exclusive Tech. & Media Service (53.6)","Books, Maps and Other Publications",Government of the Philippines (GOP),General Appropriations Act,Implementing Rules and Regulations,340000.00,02/12/2024,NULL,Metro Manila,1,NULL,1,One-year subscription to THE NEW YORK TIMES,"One-year subscription to THE NEW YORK TIMES (Subscription Period January 1, 2025 -December 31, 2025)",1,Lot,340000.00,Awarded,5208637,One-year subscription to THE NEW YORK TIMES,55111500,Electronic publications and music,02/12/2024,15/11/2024,340000.00,Updated,15/11/2024,26/11/2024,31/12/2025,MEGATEXTS PHIL. INC.,Philippines,Region VII,Cebu,Cebu City,Micro,NULL
"MUNICIPALITY OF ROSARIO, BATANGAS",Region IV-A,Batangas,Rosario,Executive,Municipal Government,Local Government Units (LGU),0,Publication of Ordinance No. 871-2024,Goods,"NP - Scientific, Scholarly/Artistic Work, Exclusive Tech. & Media Service (53.6)",Newspapers,Government of the Philippines (GOP),Budget for the Contract Approved by the Sanggunian,Implementing Rules and Regulations,178500.00,29/10/2024,NULL,Batangas,NULL,NULL,1,Newspaper,Publication of Ordinance No. 871-2024,1,Lump Sum,178500.00,Awarded,5148334,Publication of Ordinance No. 871-2024,55101504,Newspapers,29/10/2024,07/10/2024,175000.00,Posted,NULL,NULL,NULL,"SUN STAR PEOPLES COURIER ,INC.",Philippines,Region IV-A,Batangas,Batangas City,Micro,NULL
BANGKO SENTRAL NG PILIPINAS,NCR,Metro Manila,Manila,Executive,Government Owned and/or Controlled Corp.(GOCC),Government Owned and Controlled Corporations (GOCC),0,"One (1) Lot - Multi-Year Subscription to Emerging Portfolio Fund Research (EPFR) Global’ s Asia-Pacific Data Package, as per BSP Terms of Reference",Goods,"NP - Scientific, Scholarly/Artistic Work, Exclusive Tech. & Media Service (53.6)",Information Technology,Government of the Philippines (GOP),Corporate Budget for the Contract Approved by the Board,Implementing Rules and Regulations,16531818.29,NULL,NULL,Metro Manila,3,NULL,1,Emerging Portfolio Fund Research (EPFR),"One (1) Lot - Multi-Year Subscription to Emerging Portfolio Fund Research (EPFR) Global’ s Asia-Pacific Data Package, as per BSP Terms of Reference",1,Lot,16531818.29,Awarded,5268921,"One (1) Lot - Multi-Year Subscription to Emerging Portfolio Fund Research (EPFR) Global’ s Asia-Pacific Data Package, as per BSP Terms of Reference",43000000,Information Technology Broadcasting and Telecommunications,27/12/2024,26/12/2024,NULL,Updated,26/12/2024,01/01/2025,31/12/2027,EPFR INC.,United States,NULL,NULL,NULL,NULL,NULL
UNIVERSITY OF THE PHILIPPINES - DILIMAN,NCR,Metro Manila,Quezon City,Executive,State Universities or Colleges (SUC),State Universities and Colleges (SUC),0,Online Research Resources (Informs PubsOnlin,Goods,"NP - Scientific, Scholarly/Artistic Work, Exclusive Tech. & Media Service (53.6)","Books, Maps and Other Publications",Government of the Philippines (GOP),General Appropriations Act,Implementing Rules and Regulations,600150.00,21/12/2024,NULL,Metro Manila,1,NULL,1,Online Research Resources (Informs PubsOnlin,"(January 1, 2025-December 31, 2025) ",1,Lot,600150.00,Awarded,5260207,Online Research Resources (Informs PubsOnlin,60102300,Reading books and resources,21/12/2024,16/12/2024,600150.00,Updated,16/12/2024,20/12/2024,31/12/2025,MEGATEXTS PHIL. INC.,Philippines,Region VII,Cebu,Cebu City,Micro,NULL
BARANGAY 55 ESTANZA -  LEGAZPI CITY ALBAY,Region V,Albay,Legazpi City,Executive,Barangay,Local Government Units (LGU),0,Construction of Streetlights at Sitio Upper Bagong Sirang,Goods,Renewal of Regular and Recurring Sevices per Appendix 37,Electrical Systems and Lighting Components,Government of the Philippines (GOP),Budget for the Contract Approved by the Sanggunian,Implementing Rules and Regulations,87367.01,NULL,NULL,Albay,7,NULL,1,300W Solar Lamp,Electrical Lightning,5,Piece,87367.01,Awarded,5106457,Construction of Streetlights at Sitio Upper Bagong Sirang,39000000,Electrical Systems and Lighting and Components and Accessories and Supplies,04/10/2024,05/08/2024,86352.40,Posted,NULL,NULL,NULL,DOMAIN CA GENERAL MERCHANDISE,Philippines,Region V,Albay,Ligao City,Micro,NULL
GOVERNMENT SERVICE INSURANCE SYSTEM,NCR,Metro Manila,Pasay City,Executive,Government Owned and/or Controlled Corp.(GOCC),Government Owned and Controlled Corporations (GOCC),0,Renewal re Subscription for the Internet Services,Goods - General Support Services,Renewal of Regular and Recurring Sevices per Appendix 37,Telecommunications Provider,Government of the Philippines (GOP),Corporate Budget for the Contract Approved by the Board,Implementing Rules and Regulations,94040.50,14/10/2024,NULL,NULL,NULL,NULL,1,Renewal re Subscription for the Internet Services,Renewal re Subscription for the Internet Services,1,Lot,94040.50,Awarded,5123795,Renewal re Subscription for the Internet Services,81112100,Internet services,14/10/2024,14/10/2024,94040.50,Updated,14/10/2024,16/10/2024,31/12/2024,"INNOVE COMMUNICATIONS, INC.",Philippines,Region VII,Cebu,Cebu City,Micro,NULL
PHILIPPINE HEALTH INSURANCE CORPORATION - REGION IX,Region IX,Zamboanga Del Sur,Zamboanga City,Executive,Government Owned and/or Controlled Corp.(GOCC),Government Owned and Controlled Corporations (GOCC),0,Renewal of Service Agreement,Goods - General Support Services,Renewal of Regular and Recurring Sevices per Appendix 37,Cargo Forwarding and Hauling Services,Government of the Philippines (GOP),Corporate Budget for the Contract Approved by the Board,Implementing Rules and Regulations,25250.00,NULL,NULL,Zamboanga Sibugay,12,NULL,1,Courier Services,"messengerial and freight services for the transmittal of documents, office supplies, cargoes and equipment ",1,Lot,25250.00,Awarded,5253374,Renewal of Service Agreement,78100000,Mail and cargo transport,18/12/2024,09/12/2024,25250.00,Posted,NULL,NULL,NULL,JRS BUSINESS CORPORATION,Philippines,Region X,Misamis Oriental,Cagayan De Oro City,Medium,NULL
DEPARTMENT OF INFORMATION AND COMMUNICATIONS TECHNOLOGY,NCR,Metro Manila,Quezon City,Executive,Department,National Government Agencies (NGA),0,Contract Renewal Agreement for the Lease of 1GB IP transport for Regional Government Network Locations,Goods,Renewal of Regular and Recurring Sevices per Appendix 37,Telecommunications Provider,Government of the Philippines (GOP),General Appropriations Act,Implementing Rules and Regulations,6652800.00,NULL,NULL,Metro Manila,12,NULL,1,Renewal of 1GB IP Transport,Lease of 1GB IP transport for Regional Government Network Locations,1,Lot,6652800.00,Awarded,5038106,Contract Renewal Agreement for the Lease of 1GB IP transport for Regional Government Network Locations,43000000,Information Technology Broadcasting and Telecommunications,08/10/2024,25/09/2024,6652800.00,Updated,07/10/2024,01/10/2024,31/10/2025,PLDT INC.,Philippines,NCR,Metro Manila,Makati City,Micro,NULL
ADVANCED SCIENCE AND TECHNOLOGY INSTITUTE,NCR,Metro Manila,Quezon City,Executive,Bureau,National Government Agencies (NGA),0,Contract Extension of Local Transport - University of the Philippines (UP) Iloilo 5Mbps,Goods,Renewal of Regular and Recurring Sevices per Appendix 37,Internet Services,Government of the Philippines (GOP),General Appropriations Act,Implementing Rules and Regulations,443976.00,02/10/2024,NULL,NULL,NULL,NULL,1,Contract Extension of Local Transport - University,Contract Extension of Local Transport - University of the Philippines (UP) Iloilo 5Mbps (Jan 1-March 2024),3,Lot,443976.00,Awarded,5103201,Contract Extension of Local Transport - University of the Philippines (UP) Iloilo 5Mbps,81112100,Internet services,02/10/2024,08/03/2024,443976.00,Posted,NULL,NULL,NULL,"INNOVE COMMUNICATIONS, INC.",Philippines,Region VII,Cebu,Cebu City,Micro,NULL
DEPARTMENT OF INFORMATION AND COMMUNICATIONS TECHNOLOGY,NCR,Metro Manila,Quezon City,Executive,Department,National Government Agencies (NGA),0,PROVISION OF INTERNET CONNECTIVITY SERVICES (PICS) IN STATE UNIVERSITIES AND COLLEGES (SUC) PHASE 1 – LOT A,Goods,Renewal of Regular and Recurring Sevices per Appendix 37,Internet Services,Government of the Philippines (GOP),General Appropriations Act,Implementing Rules and Regulations,29704885.06,NULL,NULL,Philippines,4,NULL,1,Internet Service,PROVISION OF INTERNET CONNECTIVITY SERVICES (PICS) IN STATE UNIVERSITIES AND COLLEGES (SUC) PHASE 1 – LOT A,1,Lot,29704885.06,Awarded,5192746,PROVISION OF INTERNET CONNECTIVITY SERVICES (PICS) IN STATE UNIVERSITIES AND COLLEGES (SUC) PHASE 1 – LOT A,43000000,Information Technology Broadcasting and Telecommunications,28/11/2024,05/11/2024,29704885.06,Updated,08/11/2024,06/11/2024,09/03/2025,"WE ARE IT PHILIPPINES, INC.",Philippines,NCR,Metro Manila,Mandaluyong City,Large,NULL
"BARANGAY SALOY, DAVAO, DAVAO DEL SUR",Region XI,Davao Del Sur,Davao City,Executive,Barangay,Local Government Units (LGU),0,PROCUREMENT OF BARANGAY OFFICE SUPPLIES AND EQUIPMENT,Goods,Renewal of Regular and Recurring Sevices per Appendix 37,Office Equipment Supplies and Consumables,Government of the Philippines (GOP),General Appropriations Act,Implementing Rules and Regulations,622629.00,24/12/2024,NULL,Davao Del Sur,15,NULL,1,PROCUREMENT OF BARANGAY OFFICE SUPPLIES AND EQUIPM,Office Supplies and office Equipment,1,Lot,622629.00,Awarded,5264753,PROCUREMENT OF BARANGAY OFFICE SUPPLIES AND EQUIPMENT,44000000,Office Equipment and Accessories and Supplies,24/12/2024,24/12/2024,NULL,Posted,NULL,NULL,NULL,CY ACE CONSUMER GOODS TRADING,Philippines,Region XI,Davao Del Sur,Davao City,Micro,NULL
DEPARTMENT OF HUMAN SETTLEMENTS AND URBAN DEVELOPMENT  - DAV,Region XI,Davao Del Sur,Davao City,Executive,Department,National Government Agencies (NGA),0,Contract of Janitorial Services - 4PH PMO,Goods - General Support Services,Renewal of Regular and Recurring Sevices per Appendix 37,Janitorial Services,Government of the Philippines (GOP),General Appropriations Act,Implementing Rules and Regulations,185547.00,27/12/2024,NULL,Davao Del Sur,12,NULL,1,Contract of Janitorial Services - 4PH PMO,"one janitor for the period January 1, 2025 to December 31, 2025",1,Unit,185547.00,Awarded,5271809,Contract of Janitorial Services - 4PH PMO,76110000,Cleaning and janitorial services,27/12/2024,12/12/2024,185547.00,Posted,NULL,NULL,NULL,ATWORK MANPOWER AND GENERAL SERVICES,Philippines,Region XI,Davao Del Sur,Davao City,Medium,NULL
"MUNICIPALITY OF MAKATO, AKLAN",Region VI,Aklan,Makato,Executive,Municipal Government,Local Government Units (LGU),0,"Road Opening in Canasa West Brgy. Libang, Makato, Aklan",Civil Works,Renewal of Regular and Recurring Sevices per Appendix 37,Construction Projects,Government of the Philippines (GOP),General Appropriations Act,Implementing Rules and Regulations,1000000.00,18/12/2024,NULL,Aklan,20,NULL,1,Civil Works ,Construction Projects ,1,Package,1000000.00,Awarded,5252672,"Road Opening in Canasa West Brgy. Libang, Makato, Aklan",72000000,Building and Facility Construction and Maintenance Services,18/12/2024,30/09/2024,999244.39,Updated,03/10/2024,18/09/2024,18/09/2025,J.C. TAMAYO ENTERPRISES,Philippines,Region VI,Aklan,Kalibo,Micro,NULL
DEPARTMENT OF THE INTERIOR AND LOCAL GOVERNMENT - CAVITE,Region IV-A,Cavite,Trece Martirez City,Executive,Department,National Government Agencies (NGA),0,CONDUCT OF SUBAYBAYANI AWARDS,Goods,Renewal of Regular and Recurring Sevices per Appendix 37,Hotel and Lodging and Meeting Facilities,Government of the Philippines (GOP),General Appropriations Act,Implementing Rules and Regulations,408300.00,NULL,NULL,Cavite,3,NULL,1,MEALS AND ACCOMMODATION,FOR THE CONDUCT OF CALABARZON SUBAYBAYANI AWARDS,128,Each,408300.00,Awarded,5135192,CONDUCT OF SUBAYBAYANI AWARDS,90110000,Hotels and lodging and meeting facilities,21/10/2024,21/10/2024,408300.00,Posted,NULL,NULL,NULL,HOTEL CASIANA OPC,Philippines,Region IV-A,Cavite,Tagaytay City,Large,NULL
"DEPARTMENT OF ENVIRONMENT AND NATURAL RES. - PENRO, BUKIDNON",Region X,Bukidnon,Malaybalay City,Executive,Department,National Government Agencies (NGA),0,eNGP YEAR 3 MAINTENANCE AND PROTECTION UNDER THE AOR OF MT. KALATUNGAN RNP,Goods,Negotiated Procurement - Community Participation (Sec. 53.12),"Agricultural Products (Seeds, Seedlings, Plants..)",Government of the Philippines (GOP),National Expenditure Program (NEP) for the suceeding year - Single Year,Implementing Rules and Regulations,300000.00,31/10/2024,07/11/2024,Bukidnon,12,Month/s,2,"eNGP Year3 M&P located at Mt. Nebo, Valencia City","eNGP Year 3 Maintenance and Protection Activity located at Sitio Migtulod, Mt. Nebo, Valencia City, Bukidnon",30,Hectare,180000.00,Awarded,5607336,"eNGP Year3 M&P located at Mt. Nebo, Valencia City",21101601,Planters,25/06/2025,26/03/2025,180000.00,Updated,28/03/2025,08/11/2024,31/12/2025,"BAYAWON LUCDAY LUNGAYAN PENDONAY TANDACOL TRIBAL ASSOCIATION, INC.",Philippines,Region X,Bukidnon,Valencia City,Micro,NULL
"DEPARTMENT OF ENVIRONMENT AND NATURAL RES. - CENRO, MALAYBAL",Region X,Bukidnon,Malaybalay City,Executive,Department,National Government Agencies (NGA),0,"Year 2 maintenance and protection in Buco, Banlag, Valencia City, Bukidnon (Bamboo)",Goods,Negotiated Procurement - Community Participation (Sec. 53.12),"Agricultural Products (Seeds, Seedlings, Plants..)",Government of the Philippines (GOP),National Expenditure Program (NEP) for the suceeding year - Single Year,Implementing Rules and Regulations,60000.00,15/10/2024,18/10/2024,Bukidnon,365,Day/s,1,eNGP Year 2 Maintenance and Protection (Ring weedi,"eNGP Year 2 Maintenance and Protection (Ring weeding/brushing, patrol work, maintenance of firelines, replanting, pest and disease control, conduct of geotagging, setting up of pole/markers to mark the boundaries of NGP sites and or signages)",10,Hectare,60000.00,Awarded,5441384,eNGP Year 2 Maintenance and Protection (Ring weedi,70151800,Forestry conservation services,26/03/2025,04/03/2025,60000.00,Updated,17/03/2025,17/03/2025,31/12/2025,"KEMALANI FARMERS ASSOCIATION (KFA),INC.",Philippines,Region X,Bukidnon,Quezon,Micro,NULL
DEPARTMENT OF EDUCATION - DIVISION OF MASBATE CITY,Region V,Masbate,Masbate City,Executive,Department,National Government Agencies (NGA),0,RFQ 2024-11-344 Purchase and Delivery of Sterilized Carabao's Milk in the Implementation of School-Based Feeding Program FY 2024,Goods,Negotiated Procurement - Community Participation (Sec. 53.12),Dairy Products,Government of the Philippines (GOP),General Appropriations Act,Implementing Rules and Regulations,14321494.00,07/11/2024,15/11/2024,Masbate,120,Day/s,1,RFQ 2024-11-344,Purchase and Delivery of Sterilized Carabao's Milk,650977,Can,14321494.00,Awarded,5263034,RFQ 2024-11-344,50131700,Milk and butter products,23/12/2024,29/11/2024,14321494.00,Updated,31/01/2025,31/01/2025,30/05/2025,LICAONG AGRICULTURE COOPERATIVE,Philippines,Region III,Nueva Ecija,Science City of Muñoz,Micro,NULL
"BARANGAY CANTANDOG I, HILONGOS, LEYTE",Region VIII,Leyte,Hilongos,Executive,Barangay,Local Government Units (LGU),0,Purchase of Supplies and Materials,Goods,Negotiated Procurement - Community Participation (Sec. 53.12),Office Equipment Supplies and Consumables,Government of the Philippines (GOP),Budget for the Contract Approved by the Sanggunian,Implementing Rules and Regulations,50000.00,24/10/2024,31/10/2024,Leyte,10,Day/s,1,Purchase of Supplies and Materials,Supplies and Materials,1,Lot,50000.00,Closed,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
DEPARTMENT OF ENVIRONMENT AND NATURAL RES. - PENRO PAMPANGA,Region III,Pampanga,Guagua,Executive,Department,National Government Agencies (NGA),0,Rehabilitation of Streambanks thru Bamboo Plantation within Porac-Gumain River Basin in Lubao and Floridablanca Pampanga for FY 2025,Goods - General Support Services,Negotiated Procurement - Community Participation (Sec. 53.12),Environmental Health/Safety Equipment,Government of the Philippines (GOP),General Appropriations Act,Implementing Rules and Regulations,2000000.00,19/11/2024,25/11/2024,Pampanga,8,Month/s,NULL,NULL,NULL,NULL,NULL,NULL,Closed,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
DEPARTMENT OF ENVIRONMENT AND NATURAL RES. - LAGANGILANG,CAR,Abra,Bangued,Executive,Department,National Government Agencies (NGA),0,"Seedling Production, Plantation Establishment and 3Years Maintenance and Protection for NGP2023 of CENRO Bangued (Year2 Maintenance and Protection for CY2024 of ENGP2023 Established Plantation)",Goods,Negotiated Procurement - Community Participation (Sec. 53.12),"Agricultural Products (Seeds, Seedlings, Plants..)",Government of the Philippines (GOP),General Appropriations Act,Implementing Rules and Regulations,1718400.00,01/12/2024,03/12/2024,Abra,3,Day/s,3,ENGP2023- Year 2 Maintenance&Protection for CY2024,Maintenance and Protection Year 2 of ENGP 2023,2,Hectare,10000.00,Awarded,5242928,ENGP2023- Year 2 Maintenance&Protection for CY2024,77000000,Environmental Services,14/12/2024,10/12/2024,10000.00,Updated,10/12/2024,10/12/2024,31/12/2024,BARANGAY NAGAPARAN MAPASO ASSOCIATION INCORPORATED,Philippines,CAR,Abra,Danglas,Micro,NULL
DEPARTMENT OF EDUCATION - DIVISION OF ALBAY,Region V,Albay,Legazpi City,Executive,Department,National Government Agencies (NGA),0,Procurement of Pasteurized and Sterilized Milk Products for the Implementation of SBFP Milk Component for SY 2024-25 (Lot 10),Goods,Negotiated Procurement - Community Participation (Sec. 53.12),Dairy Products,Government of the Philippines (GOP),General Appropriations Act,Implementing Rules and Regulations,694134.00,13/12/2024,19/12/2024,Albay,0,Day/s,1,Implementation of SBFP Milk Component (Lot 10),Procurement of Pasteurized and Sterilized Milk Products for the Implementation of SBFP Milk Component for SY 2024-25 (Lot 10),1,Lot,694134.00,Awarded,5349858,Implementation of SBFP Milk Component (Lot 10),50130000,Dairy products and eggs,05/02/2025,27/12/2024,694134.00,Updated,15/01/2025,27/12/2024,10/04/2025,GUBAT ST. ANTHONY COOPERATIVE,Philippines,Region V,Sorsogon,Gubat,Micro,NULL
"BARANGAY STA. TERESITA, MANSALAY, ORIENTAL MINDORO",Region IV-B,Oriental Mindoro,Mansalay,Executive,Barangay,Local Government Units (LGU),0,Labor Works for Variation Order,Goods,Negotiated Procurement - Community Participation (Sec. 53.12),Construction Management Services,Government of the Philippines (GOP),General Appropriations Act,Implementing Rules and Regulations,51400.00,23/10/2024,31/10/2024,Oriental Mindoro,7,Day/s,NULL,NULL,NULL,NULL,NULL,NULL,Closed,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
DEPARTMENT OF EDUCATION - CITY SCHOOLS DIVISION OF DASMARIÑA,Region IV-A,Cavite,Dasmariñas City,Executive,Department,National Government Agencies (NGA),0,CY2024 School-Based Feeding Program - Milk Feeding Component - Supply and Delivery of Unflavored Pasteurized Milk - Lot 1,Goods,Negotiated Procurement - Community Participation (Sec. 53.12),Dairy Products,Government of the Philippines (GOP),General Appropriations Act,Implementing Rules and Regulations,9822834.00,21/11/2024,25/11/2024,Cavite,43,Day/s,1,CY2024 School-Based Feeding Program - Milk Feeding,"CY2024 School-Based Feeding Program Milk Feeding Component - Supply and Delivery of Unflavored Pasteurized Milk - Lot 1, 10,878 Beneficiaries x 43 Feeding Days x PHP21.00 467,754 Packs",1,Lot,9822834.00,Awarded,5216538,CY2024 School-Based Feeding Program - Milk Feeding,50130000,Dairy products and eggs,04/12/2024,27/11/2024,9822834.00,Updated,02/12/2024,02/12/2024,30/04/2025,GEN. TRIAS DAIRY RAISERS MULTI-PURPOSE COOPERATIVE,Philippines,Region IV-A,Cavite,General Trias,Micro,NULL
DEPARTMENT OF EDUCATION - DIVISION OF TAGUM CITY,Region XI,Davao Del Norte,Tagum City,Executive,Attached Agency,National Government Agencies (NGA),0,Procurement of Pasteurized Milk for the School-Based Feeding Program of the Identified Learners of DepEd-Division of Tagum City,Goods,Negotiated Procurement - Community Participation (Sec. 53.12),Dairy Products,Government of the Philippines (GOP),General Appropriations Act,Implementing Rules and Regulations,4695600.00,23/11/2024,26/11/2024,Davao Del Norte,86,Day/s,1,Pasteurized Milk,Pasteurized Milk 200ml (frozen) non-flavored,223600,Pack,4695600.00,Awarded,5345215,Pasteurized Milk,50130000,Dairy products and eggs,03/02/2025,16/12/2024,4695600.00,Updated,16/01/2025,16/01/2025,11/04/2025,DAVAO DEL NORTE FARMER DAIRY COOPERATIVE (DAVNORFADCO),Philippines,Region XI,Davao Del Norte,New Corella,Micro,NULL
"MUNICIPALITY OF TAGOLOAN, MISAMIS ORIENTAL",Region X,Misamis Oriental,Tagoloan,Executive,Municipal Government,Local Government Units (LGU),0,Procurement of Goods Rabies Vaccine for Human,Goods,Negotiated Procurement - Defense Cooperation Agreement (Sec. 53.8),Drugs and Medicines,Government of the Philippines (GOP),Budget for the Contract Approved by the Sanggunian,Implementing Rules and Regulations,620000.00,NULL,NULL,Misamis Oriental,7,NULL,1,Rabies Vaccine for Human,200 vials PVRV/Verorab/Speeda/vial and 1 Other item,1,Lot,620000.00,Awarded,5206791,Procurement of Goods Rabies Vaccine for Human,51000000,Drugs and Pharmaceutical Products,29/11/2024,23/09/2024,618500.00,Updated,18/11/2024,14/11/2024,29/11/2024,PRO MEDIC PHARMA,Philippines,Region X,Misamis Oriental,Cagayan De Oro City,Micro,NULL
